"result_id","topic","claim","supporting_file_paths","key_numbers","status","paper_relevance","notes"
"SIMG-001","clean relic baseline","The clean NGC1277-like relic baseline preserves the relic fit but is far below the high-Si/Mg regime.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/FINAL_RELIC_SIMG_KEY_MODELS.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/final_relic_simg_key_models.csv; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/RELIC_SIMG_TESTS_STATUS_SUMMARY.md","code-light [Si/Mg]=0.058; E-MILES NIR-local [Si/Mg]=0.075; [Mg/Fe]=0.422; [Si/Fe]=0.480","final_enough","Core negative baseline result","Use as the opening result: the successful relic model does not naturally explain Eftekhari-like Si/Mg."
"SIMG-002","abundance weighting validation","Generic reweighting with available code outputs cannot move the clean baseline toward the observed Si/Mg regime.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/ABUNDANCE_WEIGHTING_BAND_COMPARISON_V1.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/abundance_weighting_band_comparison_v1.csv","max |delta [Si/Mg]| from formed/surviving/remnant/code luminosity weights = 0.011 dex","final_enough","Supports robustness of baseline discrepancy","Current code luminosity is a simplified bolometric proxy, not an observed NIR band."
"SIMG-003","E-MILES NIR-local weighting","E-MILES NIR-local weighting does not rescue the clean baseline, but it can amplify chemically Si-rich models.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/EMILES_NIR_FLUX_WEIGHTED_ABUNDANCES_V1.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/emiles_nir_flux_weighted_abundances_v1.csv","clean baseline max [Si/Mg]=0.075; mild mixed case [Si/Mg]=0.311; largest chemically perturbed-model delta ~0.161 dex","final_enough","Important bridge to NIR observational comparison","This is flux-weighted abundance averaging, not an abundance-response spectral fit."
"SIMG-004","E-MILES NIR index measurement","Public E-MILES baseFe SSPs reproduce baseline NIR index trends with age, metallicity, IMF slope, and velocity broadening, but do not isolate Si/Mg response.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/EMILES_EFTEKHARI_NIR_INDICES_V1.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/emiles_eftekhari_nir_indices_native_v1.csv; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/emiles_eftekhari_nir_indices_sigma440_v1.csv","11.5 Gyr, [M/H]=+0.26, slope=3.0, sigma=440 km/s: MgI1.18=0.4419 A; SiI1.20=1.3642 A; SiI1.59=0.9216 A","draft","Method/caveat section","Useful as a baseline index inventory, not a full Eftekhari abundance inference."
"SIMG-005","pre-enriched initial gas test","Low-Z initial Si pre-enrichment is diluted and leaves final stellar Si/Mg near the clean baseline.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/PREENRICHED_INITIAL_GAS_SCAN_V1.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/preenriched_initial_gas_scan_v1.csv","initial [Si/Mg]=0.0 to 0.8; final [Si/Mg] stays ~0.058","final_enough","Rules out a simple initial-gas explanation","Only Si was rescaled in a very-low-Z initial reservoir; more structured initial abundance patterns remain untested."
"SIMG-006","two-component light-mixing test","A mild Si-rich component cannot reach nominal [Si/Mg]=0.67 by light mixing; the Si-rich component must already be near the target and dominate the relevant light.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/TWO_COMPONENT_SIMG_LIGHT_MIXING.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/two_component_simg_light_mixing.csv","mild [Si/Mg]=0.158 component requires 1194% of light for target 0.67; [Si/Mg]=0.67 component requires 100% for target 0.67","final_enough","Supports localized/aperture interpretation constraints","Toy model mixes abundance ratios in linear space and converts back to dex."
"SIMG-007","mixed PopIII/PISN channel scan","Simple mixed PopIII/PISN-like enrichment moves Si/Mg in the expected direction but either remains too low or degrades the relic fit when made aggressive.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/MIXED_POPIII_CHANNEL_SCAN_V5.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/mixed_popiii_channel_scan_v5.csv; /home/tereza/Nomoto0.2/MIXED_POPIII_YIELD_CHANNEL_REPORT_20260703.md","mild m170 f0.1: code-light [Si/Mg]=0.158, E-MILES NIR~0.311; aggressive c100 z1 f0.3: code-light [Si/Mg]=0.508, E-MILES NIR~0.574, loss=20.097","final_enough","Main yield-physics sensitivity test","Copied-code experiment; not a production physical model."
"SIMG-008","constrained timed Si-rich scan","Timed early Si-rich enrichment can reach high Si/Mg while preserving relic constraints only up to a boundary near [Si/Mg]_NIR~0.5.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/CONSTRAINED_SIMG_LOCAL_REFINEMENT_V1.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/constrained_simg_local_refinement_v1.csv","20 analyzed local-refinement runs; accepted ceiling 0.499; 50 Myr counterpart rejected at 0.523","final_enough","Central positive result","Completed local batch does not contain any accepted model with [Si/Mg]_NIR >= 0.5."
"SIMG-009","best accepted model","The best accepted model is timed_s0_d40_m170_f0p35_e1p00 and reaches the lower high-Si regime within the adopted relic-fit tolerance box.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/BEST_ACCEPTED_RELIC_SIMG_MODEL_CARD.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/best_accepted_relic_simg_model_card.csv; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/final_relic_simg_key_models.csv","E-MILES NIR [Si/Mg]=0.499; code-light [Si/Mg]=0.372; d[M/H]=+0.095; d[Mg/Fe]=-0.070; dlogM=+0.137; dlogM/L=+0.053","final_enough","Headline result","Boundary solution; describe as final-enough for discussion, not publication-final without table verification."
"SIMG-010","first rejected model","The 50 Myr timed counterpart reaches higher Si/Mg but fails the relic-fit tolerance box.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/BEST_ACCEPTED_RELIC_SIMG_MODEL_CARD.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/FINAL_RELIC_SIMG_KEY_MODELS.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/final_relic_simg_key_models.csv","timed_s0_d50_m170_f0p35_e1p00: E-MILES NIR [Si/Mg]=0.523; d[M/H]=+0.113; d[Mg/Fe]=-0.085; dlogM=+0.168; dlogM/L=+0.072","rejected","Defines the accepted/rejected boundary","Fails mainly through total metallicity, Mg/Fe, and stellar mass; M/L is less restrictive."
"SIMG-011","high-Si failure modes","Pushing Si/Mg upward usually perturbs multiple relic-fit observables at once rather than failing through one isolated constraint.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/HIGH_SIMG_FAILURE_MODES_V1.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/high_simg_failure_modes_v1.csv","rejected [Si/Mg]>=0.4 rows: multiple failures dominate; highest rejected E-MILES NIR [Si/Mg]=0.574","final_enough","Explains why nominal 0.67 is not reached","A successful channel needs to be Si-selective, localized, or short-lived without over-changing metal/mass budget."
"SIMG-012","relation to relicness prediction","Relicness should correlate robustly with Mg/Fe and may correlate with Si/Mg only if an early Si-rich channel operated and avoided later dilution.","/home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/PROJECT_OVERVIEW_SIMG_NGC1277.md; /home/tereza/early_type_galaxies/results/yield_channel_tests/analysis/SHORT_PAPER_DRAFT_SIMG_NGC1277.md","Prediction: Mg/Fe-relicness robust; Si/Mg-relicness conditional; normal ETGs can dilute toward [Si/Mg]~0","draft","Discussion and collaborator-response point","Needs collaborator-facing wording and, eventually, observational comparison across relicness indicators."
